,Time,Time_raw,SR,WT,SL,DL,interporated GSI_Female,interporated GSI_Male
186,186.0,2016-04-04,9.17,17.329166666666700,1.6,12.683333333333300,5.43848778392344,1.1101017307322100
187,187.0,2016-04-05,16.290000000000000,14.683333333333300,4.9,12.716666666666700,5.54823906430905,1.1112102564253800
188,188.0,2016-04-06,20.240000000000000,15.091666666666700,10.0,12.766666666666700,5.673935265349110,1.111895300029630
189,189.0,2016-04-07,1.89,13.275,0.0,12.783333333333300,5.8168989960337400,1.1121231919701400
190,190.0,2016-04-08,12.670000000000000,14.812500000000000,3.2,12.816666666666700,5.97845286535308,1.111860262672110
191,191.0,2016-04-09,22.08,15.933333333333300,8.0,12.866666666666700,6.159919482297270,1.1110728425607400
192,192.0,2016-04-10,12.180000000000000,16.050000000000000,0.9,12.9,6.362621455856440,1.1097272620612200
193,193.0,2016-04-11,25.440000000000000,12.7125,10.3,12.933333333333300,6.587881395020720,1.1077898515987300
194,194.0,2016-04-12,20.900000000000000,11.833333333333300,8.2,12.966666666666700,6.837021908780250,1.105226941598480
195,195.0,2016-04-13,3.8800000000000000,15.316666666666700,0.6,13.0,7.111365606125160,1.1020048624856600
196,196.0,2016-04-14,20.15,17.370833333333300,6.5,13.033333333333300,7.410900222340370,1.0981027347988800
197,197.0,2016-04-15,26.830000000000000,14.758333333333300,12.0,13.083333333333300,7.730273997889980,1.0935508395304600
198,198.0,2016-04-16,24.350000000000000,15.6,11.9,13.116666666666700,8.062800299532880,1.0883922477861400
199,199.0,2016-04-17,15.040000000000000,18.708333333333300,4.8,13.133333333333300,8.401792494027930,1.082670030671650
200,200.0,2016-04-18,9.68,15.212500000000000,4.1,13.166666666666700,8.740563948134040,1.0764272592927500
201,201.0,2016-04-19,25.270000000000000,13.575000000000000,12.3,13.216666666666700,9.072428028610080,1.0697070047551500
202,202.0,2016-04-20,23.920000000000000,15.341666666666700,9.2,13.25,9.39069810221493,1.062552338164620
203,203.0,2016-04-21,4.2300000000000000,15.437500000000000,0.3,13.283333333333300,9.688687535707480,1.0550063306268700
204,204.0,2016-04-22,25.890000000000000,18.1375,10.5,13.3,9.959709695846620,1.0471120532476700
205,205.0,2016-04-23,16.830000000000000,20.15416666666670,6.7,13.333333333333300,10.197077949391200,1.0389125771327300
206,206.0,2016-04-24,19.0,19.73333333333330,6.0,13.383333333333300,10.39410566310020,1.0304509733878100
207,207.0,2016-04-25,20.32,19.95,8.1,13.416666666666700,10.544106203732300,1.0217703131186400
208,208.0,2016-04-26,26.23,21.137500000000000,11.3,13.45,10.640392938046600,1.012913667430960
209,209.0,2016-04-27,5.6,18.470833333333300,0.0,13.466666666666700,10.676279232801900,1.0039241074305100
210,210.0,2016-04-28,3.78,16.22083333333330,0.1,13.5,10.647625725860500,0.9948600316253310
211,211.0,2016-04-29,28.510000000000000,13.020833333333300,12.2,13.533333333333300,10.560482139498200,0.9858411481326670
212,212.0,2016-04-30,26.620000000000000,14.804166666666700,12.6,13.566666666666700,10.423445467094300,0.9770024924720620
213,213.0,2016-05-01,22.890000000000000,17.3375,9.2,13.6,10.245112702028000,0.9684791001630610
214,214.0,2016-05-02,25.800000000000000,20.441666666666700,11.2,13.633333333333300,10.034080837678600,0.9604060067252080
215,215.0,2016-05-03,14.31,19.65416666666670,3.2,13.65,9.798946867425340,0.9529182476780490
216,216.0,2016-05-04,28.290000000000000,20.65,11.1,13.683333333333300,9.548307784647460,0.9461508585411290
217,217.0,2016-05-05,27.700000000000000,18.100000000000000,12.0,13.716666666666700,9.290760582724210,0.9402388748339900
218,218.0,2016-05-06,5.490000000000000,15.491666666666700,0.0,13.75,9.034902255034840,0.9353173320761800
219,219.0,2016-05-07,17.030000000000000,17.28333333333330,2.5,13.783333333333300,8.78932979495861,0.9315212657872430
220,220.0,2016-05-08,26.850000000000000,19.45416666666670,11.6,13.8,8.562640195874760,0.9289857114867220
221,221.0,2016-05-09,6.070000000000000,17.591666666666700,0.0,13.833333333333300,8.363430451162540,0.9278457046941630
222,222.0,2016-05-10,6.260000000000000,18.583333333333300,0.1,13.866666666666700,8.20029755420121,0.9282362809291110
223,223.0,2016-05-11,6.3,18.929166666666700,0.0,13.9,8.081838498370010,0.9302924757111090
224,224.0,2016-05-12,30.04,20.158333333333300,13.3,13.933333333333300,8.016650277048190,0.9341493245597050
225,225.0,2016-05-13,28.55,22.59166666666670,10.0,13.95,8.013329883615010,0.9399418629944410
226,226.0,2016-05-14,25.850000000000000,23.0,12.4,13.966666666666700,8.077252784814520,0.9477120552667390
227,227.0,2016-05-15,19.000000000000000,22.445833333333300,12.0,14.0,8.200908340850010,0.9571295805555270
228,228.0,2016-05-16,4.47,19.295833333333300,1.9,14.033333333333300,8.373564385289560,0.9677710467716070
229,229.0,2016-05-17,21.560000000000000,18.725000000000000,4.1,14.05,8.584488751701270,0.9792130618257830
230,230.0,2016-05-18,30.08,22.0375,11.8,14.066666666666700,8.822949273653230,0.9910322336288600
231,231.0,2016-05-19,26.070000000000000,22.058333333333300,12.1,14.1,9.078213784713540,1.0028051700916400
232,232.0,2016-05-20,17.030000000000000,22.004166666666700,6.5,14.133333333333300,9.339550118450280,1.0141084791249300
