Gene ID,Symbol,Alpha,Phi,RS,Description
BGI_novel_G000592,NA,1.307777967,29.46402583,0.312832415,NA
105358014,LOC105358014,1.449592593,29.72340434,0.389385219,"microtubule-associated protein futsch (LOC105358014), transcript variant X5, mRNA;microtubule-associated protein futsch (LOC105358014), transcript variant X1, mRNA;microtubule-associated protein futsch (LOC105358014), transcript variant X6, mRNA;microtubule-associated protein futsch (LOC105358014), transcript variant X3, mRNA;microtubule-associated protein futsch (LOC105358014), transcript variant X4, mRNA"
110013339,LOC110013339,5.170018957,29.79925512,0.511596276,"NACHT, LRR and PYD domains-containing protein 12-like (LOC110013339), mRNA"
100820712,c-fos,0.739699929,29.80180066,0.302600518,"c-fos protein (c-fos), transcript variant X1, mRNA;c-fos protein (c-fos), mRNA"
BGI_novel_G000017,NA,6.841965518,29.93730148,0.375555943,NA
101168806,sacs,0.650531644,30.32134177,0.42256869,"sacsin molecular chaperone (sacs), transcript variant X3, mRNA;sacsin molecular chaperone (sacs), transcript variant X1, mRNA;sacsin molecular chaperone (sacs), transcript variant X2, mRNA"
101157389,LOC101157389,1.355927395,31.99788564,0.320020372,"homeobox protein CHOX-CAD (LOC101157389), mRNA"
100125495,LOC100125495,1.817102386,32.04614004,0.37518599,"beta,beta-carotene 15,15'-dioxygenase (LOC100125495), mRNA"
101159719,LOC101159719,1.014813079,32.44059661,0.454921951,"titin (LOC101159719), mRNA"
BGI_novel_G000792,NA,1.247750949,32.95462918,0.376917943,NA
BGI_novel_G000665,NA,10.10291058,33.29968749,0.354359934,NA
BGI_novel_G000661,NA,10.47700144,33.48235848,0.353657367,NA
BGI_novel_G000866,NA,0.583955341,33.99156335,0.375526079,NA
101166162,LOC101166162,4.21422339,33.99599015,0.338711772,"germ cell-specific gene 1-like protein (LOC101166162), transcript variant X2, mRNA;germ cell-specific gene 1-like protein (LOC101166162), transcript variant X1, mRNA"
BGI_novel_G000660,NA,10.67906604,34.21999978,0.49366294,NA
105355708,sgcd,0.696408468,34.52556044,0.606059639,"sarcoglycan delta (sgcd), transcript variant X5, mRNA;sarcoglycan delta (sgcd), transcript variant X3, mRNA;sarcoglycan delta (sgcd), transcript variant X4, mRNA;sarcoglycan delta (sgcd), transcript variant X2, mRNA;sarcoglycan delta (sgcd), transcript variant X1, mRNA;sarcoglycan delta (sgcd), transcript variant X6, mRNA"
BGI_novel_G000663,NA,9.829899189,34.62949963,0.364361452,NA
101161595,LOC101161595,1.813202758,34.86542787,0.323856425,"gap junction beta-3 protein (LOC101161595), mRNA"
101172000,itk,1.622325064,35.01039768,0.380450598,"IL2 inducible T cell kinase (itk), mRNA"
